ns=0;i=17259	AuditConditionOutOfServiceEventType
ns=4;s=Demo.WorkOrder.WorkOrderVariable2	WorkOrderVariable2
ns=4;s=Demo.CTT.DAProfile.DataItem.UInt64	UInt64
ns=0;i=11945	NonTransparentNetworkRedundancyType
ns=0;i=11944	NetworkGroupDataType
ns=0;i=11943	EndpointUrlListDataType
ns=0;i=11948	ServerNetworkGroups
ns=4;i=21095	Variable095
ns=4;i=21096	Variable096
ns=4;i=21093	Variable093
ns=4;i=21094	Variable094
ns=4;i=21099	Variable099
ns=4;i=21097	Variable097
ns=4;i=21098	Variable098
ns=4;i=21091	Variable091
ns=4;i=21092	Variable092
ns=4;i=21090	Variable090
ns=2;i=6030	ConnectsTo
ns=0;i=938	IssuedIdentityToken
ns=4;i=21084	Variable084
ns=4;i=21085	Variable085
ns=4;i=21082	Variable082
ns=4;i=21083	Variable083
ns=4;i=21088	Variable088
ns=4;i=21089	Variable089
ns=4;i=21086	Variable086
ns=4;i=21087	Variable087
ns=2;i=6027	<GroupIdentifier>
ns=4;i=21080	Variable080
ns=4;i=21081	Variable081
ns=2;i=6026	<ObjectIdentifier>
ns=0;i=920	HistoryEventFieldList
ns=4;s=Demo.CTT.AllProfiles.Arrays.Duration	Duration
ns=4;s=Demo.Method.EnumTest	EnumTest
ns=4;i=21079	Variable079
ns=4;s=Demo.CTT.DAProfile.MultiStateValueDiscreteType.UInt16.ValueAsText	ValueAsText
ns=0;i=17219	HighlyManagedAlarmConditionClassType
ns=0;i=17218	SafetyConditionClassType
ns=0;i=17215	TargetValueNode
ns=0;i=17217	Tolerance
ns=0;i=17216	ExpectedTime
ns=0;i=948	AggregateConfiguration
ns=4;i=21051	Variable051
ns=0;i=7605	EnumStrings
ns=4;i=21052	Variable052
ns=4;i=21050	Variable050
ns=4;i=21055	Variable055
ns=4;s=Demo.Static.Matrix.StatusCode	StatusCode
ns=4;i=21056	Variable056
ns=4;i=21053	Variable053
ns=4;i=21054	Variable054
